Size;CPU cores;Memory;NICs (Max);Max. Temp disk size in GB;Max. data disks;Max. IOPS;Max. Throughput;Cache size (GB);CPU speed;Number of cores;Memory Size;Temp Disk Size;full text;StorageTier;
Standard_D15_v2;20;140;10;1000;40;20000;0;0;2.397;20;140;9.999.980.431;CPU speed:2.397 Number of cores:20 Memory Size:140 Temp Disk Size:999.998043060303;Standard;
Standard_G1;2;28;1;384;4;2000;0;0;1.995;2;28;3.839.980.431;CPU speed:1.995 Number of cores:2 Memory Size:28 Temp Disk Size:383.998043060303;Standard;
Standard_G2;4;56;2;768;8;4000;0;0;1.995;4;56;7.679.980.431;CPU speed:1.995 Number of cores:4 Memory Size:56 Temp Disk Size:767.998043060303;Standard;
Standard_G3;8;112;4;1536;16;8000;0;0;1.995;8;112;1.535.998.043;CPU speed:1.995 Number of cores:8 Memory Size:112 Temp Disk Size:1535.998043060303;Standard;
Standard_G4;16;224;8;3072;32;16000;0;0;1.995;16;224;3.071.998.043;CPU speed:1.995 Number of cores:16 Memory Size:224 Temp Disk Size:3071.998043060303;Standard;
Standard_G5;32;448;8;6144;64;32000;0;0;1.995;32;448;6.143.998.043;CPU speed:1.995 Number of cores:32 Memory Size:448 Temp Disk Size:6143.998043060303;Standard;
Standard_DS1;1;3.5;1;7;2;3200;32;43;2.195;1;3;699.804.306;CPU speed:2.195 Number of cores:1 Memory Size:3 Temp Disk Size:6.9980430603027;Premium
Standard_DS2;2;7;2;14;4;6400;64;86;2.195;2;7;1.399.804.306;CPU speed:2.195 Number of cores:2 Memory Size:7 Temp Disk Size:13.9980430603027;Premium
Standard_DS3;4;14;4;28;8;12800;128;172;2.195;4;14;2.799.804.306;CPU speed:2.195 Number of cores:4 Memory Size:14 Temp Disk Size:27.998043060303;Premium;
Standard_DS4;8;28;8;56;16;25600;256;344;2.195;8;28;5.599.804.306;CPU speed:2.195 Number of cores:8 Memory Size:28 Temp Disk Size:55.998043060303;Premium;
Standard_DS11;2;14;2;28;4;6400;64;72;2.195;2;14;2.799.804.306;CPU speed:2.195 Number of cores:2 Memory Size:14 Temp Disk Size:27.9980430603027;Premium;
Standard_DS12;4;28;4;56;8;12800;128;144;2.195;4;28;5.599.804.306;CPU speed:2.195 Number of cores:4 Memory Size:28 Temp Disk Size:55.998043060303;Premium;
